Time,Status,Message
0 days 00:04:42.136000,1,AllClear
0 days 00:24:57.650000,2,Yellow
0 days 00:25:03.853000,1,AllClear
0 days 00:25:09.482000,2,Yellow
0 days 00:25:18.636000,1,AllClear
0 days 00:25:31.865000,2,Yellow
0 days 00:25:38.079000,1,AllClear
0 days 00:25:42.701000,2,Yellow
0 days 00:25:57.176000,1,AllClear
0 days 00:33:21.929000,2,Yellow
0 days 00:33:25.453000,1,AllClear
0 days 00:40:25.914000,2,Yellow
0 days 00:40:29.162000,1,AllClear
0 days 00:43:28.466000,2,Yellow
0 days 00:43:32.405000,1,AllClear
0 days 00:44:14.388000,2,Yellow
0 days 00:44:17.198000,1,AllClear
0 days 00:44:23.408000,2,Yellow
0 days 00:44:27.879000,1,AllClear
0 days 00:45:35.018000,2,Yellow
0 days 00:46:09.007000,4,SCDeployed
0 days 00:53:09.865000,1,AllClear
0 days 00:54:25.649000,2,Yellow
0 days 00:54:27.067000,1,AllClear
0 days 00:54:42.013000,2,Yellow
0 days 00:55:06.708000,1,AllClear
0 days 01:27:54.458000,2,Yellow
0 days 01:27:57.613000,1,AllClear
0 days 02:16:37.066000,2,Yellow
0 days 02:18:18.957000,1,AllClear
